"ID","FECHA_UTC","HORA_UTC","LATITUD","LONGITUD","PROFUNDIDAD","MAGNITUD","FECHA_CORTE"
"2284","19810716","052759","-10.306","-77.869","33","5","20223006"
"2286","19810718","181434","-17.277","-73.907","41","5","20223006"
"2288","19810722","024428","-12.257","-78.703","53","5","20223006"
"2306","19811008","001231","-7.201","-82.001","33","5","20223006"
"2308","19811012","122415","-17.22","-72.053","76","5","20223006"
"2348","19820418","141557","-5.624","-77.54","61","5","20223006"
"2381","19821005","020140","-17.03","-74.68","33","5","20223006"
"2390","19821113","171707","-11.03","-76.08","30","5","20223006"
"2391","19821114","125530","-15.11","-71.79","138","5","20223006"
"2409","19821218","052414","-10.74","-74.77","33","5","20223006"
"2411","19821220","072813","-16.3","-73.51","86","5","20223006"
"2412","19821221","044503","-8.21","-74.18","158","5","20223006"
"2438","19830321","010252","-3.81","-77.94","65","5","20223006"
"2439","19830325","020201","-11.4","-77.3","35","5","20223006"
"2469","19830722","071604","-8.72","-80.84","33","5","20223006"
"2478","19830821","154717","-4.98","-76.01","129","5","20223006"
"2485","19830924","060510","-14.13","-72.72","112","5","20223006"
"2506","19831225","002450","-11.63","-78.56","85","5","20223006"
"2508","19831230","154819","-16.88","-72.71","58","5","20223006"
"2581","19840506","185426","-17.688","-69.319","161","5","20223006"
"2586","19840513","235330","-3.938","-80.831","35","5","20223006"
"2604","19840614","080716","-6.92","-77.05","138","5","20223006"
"2638","19840823","083540","-15.4","-72.41","165","5","20223006"
"2658","19841117","052850","-12.69","-77.01","39","5","20223006"
"2698","19850224","223420","-12.62","-77.19","52","5","20223006"
"2719","19850412","162724","-15.95","-72.39","131","5","20223006"
"2721","19850414","114741","-11.13","-73.75","130","5","20223006"
"2732","19850512","045732","-15.37","-71.44","140","5","20223006"
"2757","19850701","141326","-18.377","-71.58","62","5","20223006"
"2766","19850725","051600","-14.59","-73.84","128","5","20223006"
"2789","19850821","113448","-9.4","-79.31","42","5","20223006"
"2805","19850906","074216","-14.53","-75.77","48","5","20223006"
"2826","19851014","045944","-8.91","-77.25","121","5","20223006"
"2827","19851018","000006","-17.808","-72.936","33","5","20223006"
"2833","19851025","124325","-6.91","-80.38","39","5","20223006"
"2842","19851111","112756","-17.764","-72.99","33","5","20223006"
"2844","19851111","130504","-17.778","-72.939","33","5","20223006"
"2874","19860110","111805","-15.874","-74.64","72","5","20223006"
"2889","19860128","174255","-17.281","-73.852","33","5","20223006"
